conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,released,knowledge,sector-specific,,"De technieken en beginselen van softwareontwikkeling, zoals analyses, algoritmen, coderen, testen en compileren van programmeerparadigma’s in Haskell.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,computerprogrammering | ontwikkeling en analyse van software en toepassingen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,incrementele ontwikkeling,released,knowledge,sector-specific,oplopende ontwikkeling,Het incrementele ontwikkelingsmodel is een methode voor het ontwerpen van softwaresystemen en toepassingen.,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9 | http://data.europa.eu/esco/isced-f/0613,ICT-projectbeheermethodologieën | ontwikkeling en analyse van software en toepassingen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,released,knowledge,sector-specific,,"Het computerprogramma KDevelop bestaat uit een reeks softwareontwikkelingsinstrumenten voor het schrijven van programma’s, zoals een compiler, debugger, code-editor, syntaxiskleuring, die zijn gebundeld in een uniforme gebruikersinterface. Het wordt ontwikkeld door de software-gemeenschap KDE.",http://data.europa.eu/esco/skill/925463a7-d51f-4d5b-9f79-4d28cf30acde | http://data.europa.eu/esco/isced-f/0612,software voor geïntegreerde ontwikkelomgevingen | ontwerp en beheer van databanken en netwerken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (systemen voor beheer van leeromgevingen),released,knowledge,sector-specific,,"Het leersysteem Absorb is een e-learningplatform voor het creëren, beheren en aanbieden van e-learning-onderwijscursussen of opleidingsprogramma’s voor middelbare scholieren.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,systemen voor beheer van leeromgevingen | ontwerp en beheer van databanken en netwerken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,ontwikkelen van innovatieve blockchainarchitecturen,released,skill/competence,cross-sector,innovatieve blockchain-architectuur bouwen,"Nieuwe blockchainarchitecturen ontwikkelen die gericht zijn op eigenschappen en prioriteiten die nodig zijn voor specifieke toepassingen. De voordelen en tekortkomingen behandelen van dergelijke nieuwe architecturen ten opzichte van bestaande architecturen.
	",http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,ontwerpen van ict-systemen en -applicaties
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,netwerk engineering,released,knowledge,sector-specific,netwerkarchitectuur,"Het deelgebied van computertechnologie dat zich bezighoudt met het beheren van de connectiviteit van netwerken via data, spraak, gesprekken en draadloze netwerkdiensten.
	",http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5 | http://data.europa.eu/esco/isced-f/0714,computertechnologie | elektronica en automatisering
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,bestaande gegevens migreren,released,skill/competence,sector-specific,migreren van bestaande data | data migreren | migreren van bestaande gegevens | gegevens migreren | bestaande data migreren,"Methoden voor migratie en omzetting van bestaande gegevens toepassen om gegevens tussen formaten, opslagsystemen of computersystemen over te dragen of om te zetten.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"digitale gegevens verzamelen, beheren en bewaren"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,fysieke structuur van databases definiëren,released,skill/competence,sector-specific,fysieke opslagstructuur van databases vaststellen | indexeringsmogelijkheden van databases definiëren | fysieke configuratie van databasebestanden op media definiëren | opslagstructuur van databases definiëren | fysieke structuur van databanken definiëren,"De fysieke configuratie van de gegevensbestanden van een bepaald medium specificeren. Dit omvat gedetailleerde specificaties van de indexeeropties, gegevenstypes en gegevenselementen die in de gegevenscatalogus zijn geplaatst.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"digitale gegevens verzamelen, beheren en bewaren"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,released,knowledge,sector-specific,,"Het platform Maltego is een forensische applicatie die gebruik maakt van datamining om een overzicht te geven van de omgeving van organisaties, die veiligheidsgebreken van het systeem test op mogelijk ongeautoriseerde toegang, en die de complexiteit van infrastructuurgebreken in beeld brengt.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436,ontwikkeling en analyse van software en toepassingen | hulpprogramma voor penetratietesten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,radioapparatuur gebruiken,released,skill/competence,cross-sector,,"Het opzetten en exploiteren van radioapparatuur en toebehoren, zoals omroepconsoles, versterkers en microfoons. Inzicht in de basiskennis van de taal van de radio-operator en, zo nodig, instructies voor de correcte bediening van de radioapparatuur.",http://data.europa.eu/esco/skill/9bafaea2-76cd-4532-ab77-8b3d21fa6235 | http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,communicatie op afstand coördineren | bedienen van communicatieapparatuur
