conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,biomedisch technoloog,released,biomedisch technologe | klinisch fysicus | ingenieur gezondheidstechniek | ingenieur biomedisch onderzoek | ingenieur biomedische technologie | klinisch fysica | biomedisch specialiste | biomedisch specialist | fysisch research-technicus,"Biomedische technologen combineren kennis van technische beginselen en biologische bevindingen voor de ontwikkeling van medische behandelingen, geneesmiddelen en algemene gezondheidsdoeleinden. Zij kunnen oplossingen ontwikkelen, variërend van de verbetering van de bestanddelen in conventionele geneesmiddelen tot implantaten, en weefselbehandeling.",http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,bio-ingenieur
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminoloog,released,criminologe,"Criminologen bestuderen omstandigheden die verband houden met mensen, zoals de sociale en psychologische aspecten die hen ertoe kunnen brengen criminele feiten te plegen. Zij observeren en analyseren verschillende factoren gaande van de gedragsomstandigheden tot de sociale achtergrond en omgeving van verdachten om organisaties te adviseren over de preventie van criminaliteit.",http://data.europa.eu/esco/isco/C2632,"Sociologen, antropologen e.d."
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,docent economie hoger onderwijs,released,docente economie hoger onderwijs | lector economie | docent economische wetenschappen hoger onderwijs | docente economische wetenschappen hoger onderwijs | lector economische wetenschappen,"Docenten in de economie zijn docenten, assistent-docenten, docenten, colleges, docenten, mentoren die de studenten op hun eigen gespecialiseerde studiegebied instrueren, en economie. Zij ontwikkelen het curriculum, de voorbereiding van lessen (colleges, praktijklessen, seminars, opleidingen, enz.), het monitoren van de leerresultaten, het volgen van het studietraject van studenten. Zij voeren wetenschappelijk onderzoek uit in hun vakgebied en presenteren hun bevindingen op de conferenties en in publicaties. Zij zijn betrokken bij een aantal functies op het gebied van universitair beheer.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,docent hoger onderwijs
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,docent geneeskunde hoger onderwijs,released,docente medicijnen hoger onderwijs | lector medicijnen | docente geneeskunde hoger onderwijs | docent medicijnen hoger onderwijs | lector geneeskunde,"Docenten in de geneeskunde zijn docenten, docenten of docenten, en vaak doceert zij studenten die een diploma hoger middelbaar onderwijs hebben behaald op hun eigen gespecialiseerde studiegebied, geneeskunde, die overwegend academisch van aard is. Zij werken samen met hun universitaire onderzoeksassistenten en universitaire onderwijsassistenten voor het voorbereiden van lezingen en examens, voor het sorteren van papiersoorten en examens, voor het leiden van laboratoriumpraktijken en voor het leiden van toetsings- en feedbacksessies voor de studenten. Zij voeren ook academisch onderzoek uit op hun vakgebied, publiceren hun bevindingen en onderhouden contacten met andere universiteitsmedewerkers.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,docent hoger onderwijs
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,ingenieur gezondheidstechniek,released,biomedisch technoloog | gezondheidstechnicus | gezondheidstechnoloog | medisch ingenieur | biomedisch ingenieur,"Ingenieurs op het gebied van gezondheidstechniek ontwerpen en ontwikkelen medisch-technische systemen, installaties en apparatuur zoals pacemakers, MRI-scanners en röntgenapparaten. Zij houden toezicht op het gehele fabricageprocédé, van het conceptontwerp tot de uitvoering van de producten. Hun activiteiten omvatten onder meer de ontwikkeling van productverbeteringen, de ontwikkeling van methoden en technieken om de geschiktheid van het ontwerp te beoordelen, de coördinatie van de eerste productie, de ontwikkeling van testprocedures en het ontwerp van fabricageschema’s.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,elektronica-ingenieur
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,historicus,released,geschiedkundige | historica,"Historici onderzoeken, analyseren, interpreteren en presenteren het verleden van menselijke samenlevingen. Zij analyseren documenten, bronnen en sporen uit het verleden om vroegere samenlevingen te begrijpen.",http://data.europa.eu/esco/isco/C2633,"Filosofen, historici en politicologen"
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,scheikundige,released,nucleair chemicus | klinisch chemicus | research-chemicus | medisch analist | biochemicus | forensisch scheikundige | forensisch chemicus | organisch scheikundige | fysisch chemicus | klinisch-chemisch ingenieur | industrieel chemicus | medisch scheikundige | agrarisch scheikundige | chemicus | wetenschappelijk onderzoeker scheikunde | nucleair scheikundige | anorganisch scheikundige | anorganisch chemicus | industrieel scheikundige | assistent-chemicus | kernchemicus | agrarisch chemicus | analytisch scheikundige | wetenschappelijk onderzoekster scheikunde | geochemicus | radiochemicus | analytisch chemicus | milieuchemicus | medisch specialist klinische chemie | organisch chemicus | kristallograaf,Scheikundigen voeren laboratoriumonderzoek uit door de chemische structuur van stoffen te testen en te analyseren. Zij vertalen de onderzoeksresultaten naar industriële productieprocessen die verder worden gebruikt bij de ontwikkeling of verbetering van producten. Ook testen scheikundigen de kwaliteit van de vervaardigde producten en de gevolgen ervan voor het milieu.,http://data.europa.eu/esco/isco/C2113,Chemici
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,farmacoloog,released,farmacologe | onderzoeker klinische farmacie en farmacologie | farmacoloog in de industrie | farmacologe in de industrie | onderzoekster klinische farmacie en farmacologie,"Farmacologen bestuderen de manier waarop geneesmiddelen interageren met organismen, levende systemen en hun onderdelen (cellen, weefsels of organen). Hun onderzoek is gericht op het identificeren van stoffen die door de mens kunnen worden geconsumeerd en die adequate biochemische functies voor het genezen van ziekten uitoefenen.",http://data.europa.eu/esco/isco/C2131,"Biologen, botanici, zoölogen e.d."
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,docent sociologie hoger onderwijs,released,lector sociologie | lector maatschappijleer | docent sociale wetenschappen hoger onderwijs | docent maatschappijleer hoger onderwijs | lector sociale wetenschappen | docente sociologie hoger onderwijs | docente maatschappijleer hoger onderwijs | docente sociale wetenschappen hoger onderwijs,"Docenten, docenten of docenten die een diploma hoger middelbaar onderwijs hebben behaald op hun eigen gespecialiseerde studiegebied sociologie, hebben een overwegend academisch karakter. Zij werken samen met hun universitaire onderzoeksassistenten en universitaire onderwijsassistenten voor het voorbereiden van colleges en examens, sorteren en examens, en leiden tot toetsings- en feedbacksessies voor de studenten. Zij voeren ook academisch onderzoek uit op het gebied van sociologie, publiceren hun bevindingen en onderhouden contacten met andere universiteitsmedewerkers.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,docent hoger onderwijs
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,kinesioloog,released,bewegingswetenschapper | kinesiologe,"Kinesiologen bestuderen en onderzoeken de beweeglijkheid van het lichaam; de spieren en delen ervan. Zij analyseren en gebruiken wetenschappelijke gegevens en methoden om de beweging van het lichaam, in het algemeen bij de mens, te verbeteren door middel van een begrip van de gebieden zoals fysiologie, kinetiek, neurologie en biologie. Zij onderkennen de effecten van een aantal factoren, zoals de toestand van de carrosserie, op de gang van zaken en de ontwikkeling van oplossingen om de algemene werking en mobiliteit te verbeteren.",http://data.europa.eu/esco/isco/C2269,"Specialisten op het gebied van de gezondheidszorg, niet elders geclassificeerd"
