conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,opstellen van wetenschappelijke of academische artikelen en technische documentatie,released,skill/competence,cross-sector,,"Wetenschappelijke, academische of technische teksten over verschillende onderwerpen opstellen en bewerken.
    ",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,technisch of academisch schrijven
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,onderzoeksgegevens beheren,released,skill/competence,cross-sector,,"Wetenschappelijke gegevens produceren en analyseren die voortkomen uit kwalitatieve en kwantitatieve onderzoeksmethoden. De gegevens opslaan en bijhouden in onderzoeksdatabanken. Het hergebruik van wetenschappelijke gegevens ondersteunen en vertrouwd zijn met de beginselen van open gegevensbeheer.
    ",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,beheren van informatie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,Professioneel omgaan met anderen in onderzoeks- en beroepsomgevingen.,released,skill/competence,cross-sector,,"Oog hebben voor anderen en zich collegiaal opstellen. Luisteren, feedback geven en krijgen en opmerkzaam reageren op anderen, met inbegrip van het toezicht op het personeel en leiderschap in een professionele omgeving.
    ",http://data.europa.eu/esco/skill/91b0b918-942e-4661-b88c-70b9396529e5,samenwerken met anderen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,resultaten verspreiden onder de wetenschappelijke gemeenschap,released,skill/competence,cross-sector,,"Wetenschappelijke resultaten openbaar maken met alle passende middelen, waaronder conferenties, workshops, colloquia en wetenschappelijke publicaties.
	",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,technisch of academisch schrijven
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,software met een open broncode ontwikkelen,released,skill/competence,sector-specific,,"Software met een open broncode gebruiken en ontwikkelen. Kennis hebben van de belangrijkste modellen voor software met een open broncode, licentieregelingen en de coderingspraktijken die gewoonlijk worden toegepast bij de productie van software met een open broncode.
    ",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,programmeren van computersystemen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,verschillende talen spreken,released,skill/competence,cross-sector,,Vreemde talen onder de knie krijgen om te kunnen communiceren in een of meer vreemde talen.,http://data.europa.eu/esco/skill/03961960-e729-4768-ab0a-49886132f17a,gebruikmaken van vreemde talen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9,onderzoeksactiviteiten evalueren,released,skill/competence,cross-sector,,"De vorderingen, impact en resultaten van collega-onderzoekers beoordelen.
	",http://data.europa.eu/esco/skill/23cfb269-eec1-4011-8e57-c86203ce9fd7,feedback geven
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,blijk geven van vakkennis,released,skill/competence,cross-sector,,"Blijk geven van grondige kennis en een complex begrip van een specifiek onderzoeksgebied, met inbegrip van verantwoord onderzoek, onderzoeksethiek en beginselen inzake wetenschappelijke integriteit, privacy en AVG, met betrekking tot onderzoeksactiviteiten binnen een specifieke discipline.
    ",http://data.europa.eu/esco/skill/8fde007e-ea4c-48c2-84c5-752834acd31d,uitvoeren van studies en onderzoeken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,analytisch denken,released,skill/competence,transversal,gestructureerd denken | logisch denken | verbanden kunnen zien,"Gedachten vormen via logica en redenering om de sterke en zwakke punten van alternatieve oplossingen, conclusies of benaderingen van problemen in kaart te brengen.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"informatie, ideeën en concepten verwerken"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cd85845-f31c-4306-994d-e12d45114d83,lesgeven in het academisch of beroepsonderwijs,released,skill/competence,cross-sector,,"Studenten onderwijzen in de theorie en praktijk van academische of beroepsvakken door de inhoud van de eigen onderzoeksactiviteiten en die van anderen over te dragen.
    ",http://data.europa.eu/esco/skill/335be43a-3267-400e-b5cb-c9e234dc7544,onderwijs geven in academische vakken of beroepsvorming
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d39b27a-b34f-4c89-8d46-df844d42f728,kennis beheren voor impact op het beleid,released,skill/competence,cross-sector,,"De impact en het gebruik van onderzoeksresultaten in het beleid vergroten door te zorgen voor een tijdige verspreiding en een tijdig begrip van de meest waardevolle feiten, zodat beleidsmakers er tijdens de gehele beleidscyclus rekening mee kunnen houden.
    ",http://data.europa.eu/esco/skill/cdb2aecd-9dca-48fd-8d56-f0aace3ab5a9 | http://data.europa.eu/esco/skill/f914df1a-c9fd-47ab-b1ec-bc7c6f572640,presenteren van algemene informatie | beleidsmakers beïnvloeden over sociale dienstverleningskwesties
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4f5c1208-62fd-4e5a-a51e-306c06947e11,"vindbare, toegankelijke, interoperabele en herbruikbare gegevens beheren",released,skill/competence,cross-sector,,"Wetenschappelijke gegevens produceren, beschrijven, opslaan, bewaren en (her)gebruiken op basis van FAIR-beginselen (Findable, Accessible, Interoperable, and Reusable), waarbij gegevens zo open als mogelijk en zo gesloten als nodig worden gemaakt.
	",http://data.europa.eu/esco/skill/9ff9db9d-d14b-426e-83f3-e7449af6c79f | http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,gegevens beheren | wetenschappelijk of marktonderzoek uitvoeren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4fabca9a-7435-4f33-b1da-3cdb00340fdc,wetenschappelijk onderzoek verrichten,released,skill/competence,cross-sector,,"Een rol spelen bij de totstandbrenging of creatie van nieuwe kennis door onderzoeksvragen te formuleren, concepten, theorieën, modellen, technieken, instrumenten, software of operationele methoden te onderzoeken, te verbeteren of te ontwikkelen en wetenschappelijke methoden en technieken te gebruiken.
    ",http://data.europa.eu/esco/skill/7eafec38-621a-4b6e-9298-bfe70ec0b253,wetenschappelijk of marktonderzoek uitvoeren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/518dc04d-092d-4fa1-bd82-88b7a9278ef7,intellectuele-eigendomsrechten beheren,released,skill/competence,sector-specific,,"De particuliere rechten behandelen die de intellectuele eigendommen beschermen tegen ontoelaatbare inbreuken.
   ",http://data.europa.eu/esco/skill/f4bcdb75-df28-441d-a52b-9730904f36a1 | http://data.europa.eu/esco/skill/0d80a782-99ff-4f49-abbe-c72524c6f390,rechten en verantwoordelijkheden uitoefenen | onderhandelen over en beheren van contracten en overeenkomsten
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5f0082ab-2131-49b5-94d6-a1821daf57d6,onderzoeksfinanciering aanvragen,released,skill/competence,cross-sector,,"De belangrijkste relevante financieringsbronnen identificeren en een aanvraag voor onderzoekstoelagen opstellen om middelen en subsidies te verkrijgen.
	",http://data.europa.eu/esco/skill/0ffce932-cec4-4fec-87e6-df23fb6bdc12 | http://data.europa.eu/esco/skill/1bc1cf2a-a7f6-4769-a13b-cc26a2214498,"subsidies verkrijgen | voorbereiden van documentatie voor contracten, aanvragen en vergunningen"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/60c78287-22eb-4103-9c8c-28deaa460da0,in teams werken,released,skill/competence,transversal,in groepen werken,Vol vertrouwen werken binnen een groep waarin ieder zijn deel in dienst van het geheel stelt.,http://data.europa.eu/esco/skill/036afa6e-cdde-4b38-a53a-8e7910a840e1,samenwerken in teams en netwerken
