conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,initiatief aan de dag leggen,released,,"Proactief zijn en de eerste stap zetten zonder te wachten op wat anderen zeggen of doen.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,een proactieve aanpak hanteren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,skill/competence,transversal,manieren toepassen om de biodiversiteit en het dierenwelzijn te bevorderen,released,,"Gedrag aannemen dat bijdraagt tot het behoud van stabiele ecosystemen en de strijd tegen massa-extinctie, bijvoorbeeld door bewuste voedingskeuzes te maken die de biologische voedselproductie en het dierenwelzijn ondersteunen.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,ecologische vaardigheden en competenties toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,skill/competence,transversal,anderen adviseren,released,,"Suggesties aanreiken over de beste manier van aanpak.
  ",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,anderen steunen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,skill/competence,transversal,kritiek en begeleiding aanvaarden,released,,"Omgaan met negatieve feedback van anderen en open reageren op kritiek, en proberen om op basis daarvan mogelijke verbeterpunten aan te wijzen.
  ",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,de bereidheid tonen om te leren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b709c64-a57a-4976-86bd-34d2cf34fa4f,skill/competence,transversal,"kennis van filosofie, ethiek en godsdienst toepassen",released,,"Een persoonlijk perspectief op de eigen rol, betekenis en zingeving ontdekken en ontwikkelen, met inbegrip van wat het betekent te leven, te sterven en mens te zijn.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,algemene kennis toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,skill/competence,transversal,manieren toepassen om vervuiling te verminderen,released,,"Maatregelen toepassen om lucht-, geluids-, licht-, water- of milieuverontreiniging te verminderen, bijvoorbeeld door gebruik te maken van het openbaar vervoer, geen afval achter te laten in de natuur en onnodige licht- en geluidsemissies te beperken, met name ‘s nachts.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,ecologische vaardigheden en competenties toepassen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,skill/competence,transversal,verbintenissen nakomen,released,aan eisen voldoen,"Zijn taken op een gedisciplineerde, betrouwbare en doelgerichte manier uitvoeren.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,efficiënt werken
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13b4a3d2-abdf-4442-8e52-d7464a58ecbc,skill/competence,transversal,zich aanpassen aan fysieke eisen,released,,"Blijk geven van het vermogen om tijdens werk of sport een hoge fysieke belasting te verdragen. Dit omvat knielen, lang staan of lopen of werken onder moeilijke weersomstandigheden, zoals sterke hitte, koude en regen.
  ",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,inspelen op fysieke omstandigheden
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,skill/competence,transversal,verantwoordelijkheid nemen,released,verantwoordelijkheid aanvaarden | blijk geven van verantwoordelijkheid,"Verantwoordelijkheid en aansprakelijkheid aanvaarden voor eigen professionele beslissingen en handelingen, of voor beslissingen en handelingen die aan anderen zijn gedelegeerd.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,een proactieve aanpak hanteren
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,skill/competence,transversal,vastberadenheid tonen,released,,"De inzet tonen om iets te doen dat moeilijk is en waaraan hard gewerkt moet worden. Een grote inspanning laten zien, gedreven door interesse of plezier in het werk zelf, zonder externe druk.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,een proactieve aanpak hanteren
